1634098061449|11812
1634098061464|11813
1634098061505|11814
1634098061555|11815
1634098061555|11812
1634098061597|11840
1634098061641|11838
1634098061686|11843
1634098061734|11836
1634098061777|11841
1634098061821|11834
1634098061865|11846
1634098061910|11847
1634098061953|11844
1634098061996|11842
1634098062041|11857
1634098062085|11837
1634098062129|11845
1634098062173|11856
1634098062218|11849
1634098062268|11851
1634098062311|11850
1634098062353|11848
1634098062398|11863
1634098062441|11858
1634098062487|11859
1634098062533|11862
1634098062533|11868
1634098062581|11864
1634098062626|11876
1634098062673|11872
1634098062717|11875
1634098062761|11861
1634098062761|11883
1634098062811|11878
1634098062853|11885
1634098062897|11874
1634098062941|11881
1634098062986|11839
1634098063029|11896
1634098063077|11866
1634098063121|11888
1634098063165|11889
1634098063209|11871
1634098063254|11880
1634098063297|11897
1634098063347|11891
1634098063390|11867
1634098063438|11890
1634098063483|11869
1634098063526|11870
1634098063569|11854
1634098063613|11894
1634098063657|11882
1634098063702|11898
1634098063745|11900
1634098063789|11893
1634098063833|11886
1634098063884|11892
1634098063927|11877
1634098063975|11899
1634098064017|11855
1634098064066|11860
1634098064110|11879
1634098064157|11902
1634098064201|11865
1634098064245|11901
1634098064289|11813
1634098064334|11895
1634098064383|11884
1634098064429|11887
1634098064478|11852
1634098064521|11853
1634098064569|11908
1634098064569|11873
1634098064613|11909
1634098064657|11910
1634098064701|11906
1634098064745|11913
1634098064789|11912
1634098064833|11915
1634098064877|11916
1634098064921|11914
1634098064965|11918
1634098065009|11919
1634098065054|11922
1634098065097|11911
1634098065141|11925
1634098065190|11924
1634098065233|11933
1634098065277|11932
1634098065322|11931
1634098065368|11926
1634098065412|11920
1634098065461|11921
1634098065506|11819
1634098065550|11938
1634098065594|11907
1634098065637|11934
1634098065681|11903
1634098065725|11818
1634098065769|11905
1634098065814|11928
1634098065859|11904
1634098065901|11817
1634098065950|11917
1634098065995|11923
1634098066041|11927
1634098066082|11929
1634098066125|11930
1634098066171|11936
1634098066213|11937
1634098066257|11935
1634098066304|11939
1634098066349|11814
1634098066393|11815
1634098066441|11812
1634098066485|11840
1634098066485|11838
1634098066529|11843
1634098066574|11836
1634098066574|11841
1634098066617|11834
1634098066661|11846
1634098066706|11847
1634098066750|11844
1634098066793|11842
1634098066838|11857
1634098066881|11837
1634098066926|11845
1634098066969|11856
